Mês,Lucro Bruto,Lucro Liquído,Gastos,Aulas em Grupo,Aulas Individuais,Luthieria,Financeiro Turmas Projetado,Financeiro Luthieria,Totais Gastos,Related to Financeiro - Turmas (1) (Fluxo de Caixa),Financeiro - Individual Recebido,Related to Financeiro - Individuais (Fluxo de Caixa - Recebido),Related to Financeiro - Turmas Recebido (Related to Fluxo de Caixa - Esperado (1) (Related to Financeiro - Turmas (1) (Fluxo de Caixa))),Related to Financeiro - Turmas À Receber (Fluxo de Caixa - Projetado)
Janeiro,4463,4017,446,3423,1040,728,https://www.notion.so/Janeiro-1c4ab21104b743ecb40e83bfdb366628,https://www.notion.so/Janeiro-34b93dc8893942d59d88fe898b7ee21d,"https://www.notion.so/Internet-5b5957dbf9ff4a019fab4d4b36b1be61, https://www.notion.so/CNPJ-58b71879c3fd43cfb99ce54bdb3aec45, https://www.notion.so/Monitor-Flauta-57c6b4cc9a2e4bef9a96ab65857b5d38",https://www.notion.so/Janeiro-fdb8ce1d0bb8490bae69ce22867c13a1,https://www.notion.so/Janeiro-7762489dd1104fbba5e48086d8f5c21a,https://www.notion.so/Janeiro-ca9472e3853c45c5a6f444939a99ad1b,https://www.notion.so/Janeiro-605e3face55d454fb03f977fa34fb9e7,https://www.notion.so/Janeiro-150786cc70ab477abdd987536a724c94
Fevereiro,6459,5502,957,5539,920,238,https://www.notion.so/Fevereiro-84a58f91f4eb4fba94fbe0b2c971a2ff,https://www.notion.so/Fevereiro-2ed954e69a4e407dbc643cc62f11e67d,"https://www.notion.so/Internet-cd069546458d40c5bef34a00eaeeb9cb, https://www.notion.so/CNPJ-0ee73d892cf445eeb38d593379ab0f0e, https://www.notion.so/Monitor-Flauta-974c9399367b49acbfc92839ad83eb9f, https://www.notion.so/Professor-Canto-d80cd6ae976b4c6bb8ec614d3a177d25",https://www.notion.so/Fevereiro-b7a3edd010454fb49a74ad00f00bf2c6,https://www.notion.so/Fevereiro-0bc9928655cd4e3b86d8b7d65902c90b,https://www.notion.so/Fevereiro-7935d3e920804e9f80c316defd0b1c6a,https://www.notion.so/Fevereiro-721f7f559313418481735c6ff00f6ce8,https://www.notion.so/Fevereiro-eb6af2db071f4b93aa0023e720c0d4fd
Março,6365,5408,957,5445,920,,https://www.notion.so/Mar-o-bbe917b0aeee4d98aa07b2631a941c28,https://www.notion.so/Mar-o-24888656ca93445da26e319663d2da13,"https://www.notion.so/Internet-c0370638def4432aaa69332e944d8bbf, https://www.notion.so/CNPJ-b57672d533704d41a5d62626708750b6, https://www.notion.so/Monitor-Flauta-73d51c519e1849c2a83b8a4144323a46, https://www.notion.so/Professor-Canto-1e50af7e9edd4580838de553fba34535",https://www.notion.so/Mar-o-c62d0130c6364c41bbb4168dbbbd0878,https://www.notion.so/Mar-o-90868a12acaa4cfaa07c7cf710c20392,https://www.notion.so/Mar-o-181b7c3362a4434c8e7109246274c925,https://www.notion.so/Mar-o-b4c8ea08d220439b9912d75a1bb3dd11,https://www.notion.so/Mar-o-4f75f3a11d99443480117c4bc3de609a
Abril,5885,4928,957,4785,1100,735,https://www.notion.so/Abril-f0c013b578404ac89e1e63fd33798059,https://www.notion.so/Abril-6820661d9c5344b18ac2b8424655a586,"https://www.notion.so/Internet-8b809c1e0088461686f714b9196ea589, https://www.notion.so/CNPJ-9dde5b10c12a475787c8d4e9a816b4f1, https://www.notion.so/Monitor-Flauta-43f74d9c1e3244fa8ae19c95902e518a, https://www.notion.so/Professor-Canto-05d47ccdae61426ba835ba51d7689d4f",https://www.notion.so/Abril-b099a00a53f84998b71d75918d655719,https://www.notion.so/Abril-4c584b401bba490b8ceb5f495e45e201,https://www.notion.so/Abril-2b8d9be7d49b43da95dbcae4afeb279d,https://www.notion.so/Abril-c708fd48815b43b99b32188828f8d9fe,https://www.notion.so/Abril-1c19668feaad4a50b0c5cdf8f69459a8
Maio,5750,4793,957,4670,1080,275,https://www.notion.so/Maio-7a8ad575c2ef4cb395b250a739b7e16a,https://www.notion.so/Maio-17354f1628584d2f9b257597bfeedf43,"https://www.notion.so/Internet-e5d5b829f8664eae874dabdc1686703b, https://www.notion.so/CNPJ-15cf3e35514e4e05b196913d3767737a, https://www.notion.so/Monitor-Flauta-1bce42c78b554742bf167b9a428bf15b, https://www.notion.so/Professor-Canto-ba1c31057d0844de8f814de421ed32d0",https://www.notion.so/Maio-0d8a47092b4747ff91479b97d57ed521,https://www.notion.so/Maio-ee72ea8d2e5f4936a15994eeb4a1b36e,https://www.notion.so/Maio-43ffcb8694044f1cb64a29e5830cae6e,https://www.notion.so/Maio-45c065664c98468684df309ad0b234af,https://www.notion.so/Maio-c3053c8b6df24699a563786d760d69d2
Junho,7380,6423,957,6120,1260,555,https://www.notion.so/Junho-3a9e00f8211e49e4b5d739e5e93a8672,https://www.notion.so/Junho-3ed4a9665ea64060a7f7353aa04b2c94,"https://www.notion.so/Internet-73cf930d4240403e93b7d3b3f54515ac, https://www.notion.so/CNPJ-3df9b88d057a44289820e90ac6cb30bb, https://www.notion.so/Monitor-Flauta-7557e27e8a8143a7b81eee3d00d2e3de, https://www.notion.so/Professor-Canto-f07b93c9063a4e13849ff74356d47307",https://www.notion.so/Junho-086ba42945ac45dcbbba72f2afb5c70c,https://www.notion.so/Junho-79e62130284d44709c07a8547f7dee12,https://www.notion.so/Junho-4d86b4d4ec4b4e9fa5206f2953c141f9,https://www.notion.so/Junho-5d652381a9214468a4f2d9af54cd0b71,https://www.notion.so/Junho-a1cb1ade5acd4bb795d84b7dc1418e1c
Julho,6802.5,5345.5,1457,5542.5,1260,135,https://www.notion.so/Julho-5e8ef63b1b1f48e0b984b58807639c29,https://www.notion.so/Julho-a3614b3d475247549c5da33d72a385f1,"https://www.notion.so/Internet-e43a0fc43a3845348e32fb5c4494173d, https://www.notion.so/CNPJ-ad3917c88d254bbeab8ee85e58e23160, https://www.notion.so/Monitor-Flauta-3252208e69cc4aab9925bc03cf67b7c6, https://www.notion.so/Professor-Canto-057e516c335342ff885212c49ae226f2",https://www.notion.so/Julho-70ebdd9e26134a12b4ddaeb06b84493e,https://www.notion.so/Julho-408a73b7838c47ebabb9a3524c19238c,https://www.notion.so/Julho-71be12c6d4ae4f9c871d32a4b6fb88d3,https://www.notion.so/Julho-07c649dea1f54b438082f9a462d167b2,https://www.notion.so/Julho-bec8d92dabb84e7aa832ca59e6353659
Agosto,7457.5,5400.5,2057,5617.5,1840,400,https://www.notion.so/Agosto-c29bb9a6923f40c58a8366ead05a344c,https://www.notion.so/Agosto-3eac21136c8942f3ad5405682bccc937,"https://www.notion.so/Internet-b8052a8883be4325ab608d6a46635588, https://www.notion.so/CNPJ-06957fbd77874b4dbe2191cd59280ac0, https://www.notion.so/Professor-Canto-55da8a6ce35f4b9193fea8bc569487ca, https://www.notion.so/Professor-Flauta-9e52a63f5fa4450398c0344701a98e6b, https://www.notion.so/Assesoria-8213898acc0640b0aa59a09f04468370",https://www.notion.so/Agosto-578b1d1f507c417bbb623045091cc001,https://www.notion.so/Agosto-84abc7a87be74dd39c87ab02e9c007bb,https://www.notion.so/Agosto-bfeabf84aa4548e1946704794b46c3d5,https://www.notion.so/Agosto-456c833107e14de59aeb70faf18f4dd5,https://www.notion.so/Agosto-36ad9e7caaf84ab4be4c64895ed8aac5
Setembro,8427.5,6370.5,2057,6927.5,1500,145,https://www.notion.so/Setembro-ff1756ab0b204f97bf932bb8148b56f8,https://www.notion.so/Setembro-c027e5cf49d14dbfadccb10bcbf0d471,"https://www.notion.so/Internet-03e31a4651094ff6b47216795427aedd, https://www.notion.so/CNPJ-e61b36ce0a2a4b5fa1ac322bf338810c, https://www.notion.so/Professor-Flauta-b7ef05cc3eee4f4c92cdd20bd5b3c7da, https://www.notion.so/Professor-Canto-4f255a0d06034e95a57d5c684499da46, https://www.notion.so/Assesoria-03b82c2d0cac43bd91e532506a3b7889",https://www.notion.so/Setembro-08740a814356450ab4b6d79d6828bda9,https://www.notion.so/Setembro-134b7dc1d9574988892d8f34d9796964,https://www.notion.so/Setembro-9e56320a2e344d75815bb7eadfbaf2f1,https://www.notion.so/Setembro-b0ca1e5334a942b3a9e54a471ae195e3,https://www.notion.so/Setembro-9483bbc2161542fe9ca7c11788b79a7f
Outubro,9042.5,6985.5,2057,7722.5,1320,1069,https://www.notion.so/Outubro-e0284a4732134425b06be96a9a674fc5,https://www.notion.so/Outubro-6f5e5edcd34d409e8b052fa10d3360d5,"https://www.notion.so/Internet-797608ebeeaa4c94871030e8a8d8488c, https://www.notion.so/CNPJ-e6d2b59fde5e4a7ea3be289acabb8469, https://www.notion.so/Professor-Flauta-a2f0802756fb4513b526805341b5cb9d, https://www.notion.so/Professor-Canto-62fe306fe07642fb9265f7f11ddf8b86, https://www.notion.so/Assesoria-bdb11b960632478e9dff6166002ea452",https://www.notion.so/Outubro-fad64e7e25104368981cf4a93a0cc618,https://www.notion.so/Outubro-7fb76ca1e3cf4536b45f8c4ea40a59a2,https://www.notion.so/Outubro-71dfec160b774817b6621a15cdb5ecf9,https://www.notion.so/Outubro-95be94c34d7d46548835e555f4a8faf9,https://www.notion.so/Outubro-f3cc2ae77530448781c518835aaae99d
Novembro,7342.5,5285.5,2057,6342.5,1000,,https://www.notion.so/Novembro-663d235f26bc44168e3395b3e2649a39,https://www.notion.so/Novembro-548629a5835746c294903dadd0e3dc14,"https://www.notion.so/Internet-728fad7f04f84b4e823da8e9a2daecae, https://www.notion.so/CNPJ-701dcc2158774635805cdc3f716e54d7, https://www.notion.so/Professor-Flauta-2ad16efcd41a4b9e9a036e175511a700, https://www.notion.so/Professor-Canto-aeac500edf724ed99d9e793926c0a33f, https://www.notion.so/Assesoria-91d2af3275c047a4b9e82bbf36c7dc7e",https://www.notion.so/Novembro-5512dfde0f514e7fb74850cf66a0fe02,https://www.notion.so/Novembro-53ec601db3654487bdf8881407fb2db3,https://www.notion.so/Novembro-11d245a4d350459db986251e1ded7e87,https://www.notion.so/Novembro-48533902dcf849e0ba6aea55fc7cfde8,https://www.notion.so/Novembro-75a1baf118fb422cb647de6035fa8345
Dezembro,8647.5,6590.5,2057,7827.5,820,485,https://www.notion.so/Dezembro-3bd3e4b6581e4a27b160d1a505496d62,https://www.notion.so/Dezembro-f8dfa936873c4816b867e73dba8880aa,"https://www.notion.so/Internet-6296660551f64b5d813b4274ebb01ac2, https://www.notion.so/CNPJ-1682cbe9c3204e7496ade0ad1ab4b422, https://www.notion.so/Professor-Flauta-fd010806bca140bca008ba25e8b86e8f, https://www.notion.so/Professor-Canto-c1139501dc304525aa31202e775e0e50, https://www.notion.so/Assesoria-f3b17c8514654ce68684975a2b68cfe7",https://www.notion.so/Dezembro-7cb52dcfd0514c86a6d0d546cf25376d,https://www.notion.so/Dezembro-d145ca326bb24c6a98ee99ca5bf3966b,https://www.notion.so/Dezembro-e1b667d741404e43a857835460bab08e,https://www.notion.so/Dezembro-89481790099b42ddb6f366d8f16e507d,https://www.notion.so/Dezembro-ae180a2c45064b329af66cf68425dcea